岗位名称,公司名称,薪资,岗位描述,投递要求,工作地点,学历,工作时长,实习时长
后端开发实习生,治吉科技,150-200/天,公司简介：治吉科技（ZG Tech）是一家致力于通过数据和技术赋能用户，帮助用户更好的掌握与管理自身环境、社会和治理（ESG）表现的可持续科技公司。公司成立于2021年，创始股东包括世界500强商业数据公司以及中国顶级私募股权基金，团队成员拥有丰富的国际视野与行业经历。岗位职责：·       参与完成项目的代码编写、单元测试和相关文档的编写工作·       参与数据模型和接口的开发及技术文档编写·       参与DEVOPS Pipleline搭建·       完善技术问题的排查分析、保证平台系统的正常运行任职资格：·       计算机/软件/通信信息/电子等理工科专业，本科以上学历，一周可实习4天以上，优秀者可给予全职录取·       了解前端技术，如VUE、React等·       了解Python，乐于钻研新技术，有爬虫经验者优先·       了解DEVOPS，企业级工具pipeline，GIT·       熟悉数据库优先考虑，如mysql、MongoDB·       工作细致耐心，责任心、沟通能力、学习能力强，具有团队合作精神,投递要求：简历要求：中文截止日期：,上海市长宁区延安西路2299弄西区,本科,4天／周,实习3个月
IT开发实习生,第一医药,120-150/天,岗位职责：1、配合公司业务需求，协助进行软件开发任务的开发、测试、部署；2、配合完成技术开发，保障开发的质量和效率；3、跟进公司IT项目，协助完成立项、执行、验收、评估等流程。任职要求：1、2023届应届毕业生，本科及以上学历，计算机或IT相关专业毕业，一周至少出勤3个工作日；2、具有系统的软件工程知识，熟悉SqlServer、ORACLE数据库和Windows操作系统相关使用；3、有高度的责任感，愿意主动学习，良好的团队合作意识；4、表现优异者予以管培生优先录用机会。,投递要求：简历要求：中文截止日期：,徐汇区小木桥路681号20楼,本科,3天／周,实习3个月
后端实习生,快牛智能,200-400/天,岗位职责:1、负责公司内部系统的研发工作；2、深入发掘和分析业务需求，撰写技术方案和系统设计；3、对产品需求进行构建，部署；4、持续对系统架构进行改造和性能优化；任职要求:1、本科及以上学历，计算机相关专业；2、深刻理解计算机原理，良好的常用数据结构和算法基础；3、有扎实的编程能力，有优秀的设计和代码品位；4、熟练掌握至少一门编程语言 C/C++/Java 等不限；5、熟悉 HTTP/HTTPS 协议；6、熟悉 MySQL 数据库，了解索引优化、查询优化；7、熟悉至少一种非关系型数据库，如 Redis，理解其适用场景；8、熟悉消息队列的架构范式；9、熟悉 Docker 和 Kubernetes 优先；10、熟悉 PHP/Go 语言优先；,投递要求：简历要求：中文截止日期：,上海市长宁区淞虹路207号明基商务广场B座,本科,5天／周,实习6个月
后端工程师,星逻智能,150-200/天,职责描述 1.负责后端系统接口功能设计，开发与优化； 2.负责后台业务逻辑与单元测试的开发； 3.协助完整软件的需求分析，功能设计，数据库设计文档编写工作； 4.负责后台系统的部署以及运维； 5.根据项目计划，按时完成项目技术的开发任务；  任职要求： 1.熟悉Node.js及常用模块，对js语言有深入了解； 2.熟悉express，Koa或者egg常用的web框架； 3.熟悉mysql，mongodb等常用的数据库以及redis中间件； 4.熟悉websocket，mqtt等常用的通讯协议； 5.熟悉后端服务的部署，熟悉Nginx常用配置参数，了解docker/K8S等容器化部署方案； 6.数悉restfulAPI接口设计风格； 7.对vue，react等前端框架熟悉者优先考虑； 8.有责任心，有上进心，能积极主动解决问题，能力优秀者，不限定编程语言；,投递要求：简历要求：中文截止日期：,锦绣东路1999号,本科,6天／周,实习12个月
IT工程师,金海高科,120-150/天,工作职责：1、负责基础架构（电脑、网络、机房服务器等）的运维2、对应厂区的硬软件的支持3、提供转正机会岗位要求：1 学历：本科或以上学历2 专业：网络工程等相关专业,投递要求：简历要求：中文截止日期：,上海徐汇区零陵路899号飞洲国际广场,本科,5天／周,实习12个月
IT-helpdesk,上海药坦药物,100-200/天,岗位职责：1．为公司员工提供办公软硬件安装配置、维护等IT技术支持服务；2.维护公司内外部网络信息安全、各类防火墙、行为管理的安装、配置；3．对电脑、打印机、电话等信息化设备进行日常维护；4．保障公司办公网络通畅，包含内外网、无线WiFi、机房服务器访问等；5．协助主管完成公司数据文件的备份、加密工作，确保数据安全；6．协助主管完成门禁系统、考勤系统、监控系统、数据库等日常管理、维护工作；任职要求：1.掌握基本的计算机网络技能和软硬件的相关知识，能够处理常见的计算机故障；2．计算机、软件、通信等理工科相关专业背景；3．具有良好的服务意识，保密意识。富有耐心和责任心，工作积极主动；4．大三、研一、研二同学优先考虑，全职在岗（周一至周五）实习者优先；,投递要求：简历要求：不限截止日期：,上海市浦东新区环桥路555弄26号楼,大专,5天／周,实习3个月
IT实习生,淡水河谷,150-200/天,职位描述：技术-APJ的基础设施服务技术实习生将在该领域提供帮助，了解整个流程，获得专业经验和知识，支持全球流程。任职要求：1.能解决一般问题，为用户提供技术支持。2.准备行政材料（报告等）3.帮助Vales实现文化转型专业：计算机科学、信息技术、计算机工程和信息系统，或者计算机相关的专业。工作经验：不要求有实习经验。学习能力强。语言：英语流利,投递要求：简历要求：中文 英文截止日期：,闸北区裕通路100号洲际商务中心52楼,本科,3天／周,实习6个月
Java开发实习生（前端和后端方向）,MarcPoint,180-250/天,职位描述：1、参与宏原AI算法的系统工程开发，在消费者洞察、社交营销等多业务场景落地；2、根据项目进度要求，完成子系统和模块开发、单元测试和系统联调；3、根据公司规范要求，编写技术文档；4、系统重构、功能升级和解决bug。 任职要求：1、大三、大四及在校研究生，计算机、软件类及相关专业方向；2、熟悉Java，拥有良好的计算机基础知识和编程习惯；3、拥有良好的沟通表达能力，对技术有热情、学习能力强，有责任心；4、每周实习5天，实习周期在3个月以上；5、可选择实习方向，可做后端开发，也可做前端开发。,投递要求：简历要求：中文截止日期：,上海市/上海市/徐汇区科技大楼C楼宜山路900号科技产业化大楼C座1701室,硕士,5天／周,实习4个月
IT技术支持,铂研康宸,150-180/天,岗位职责：1.负责用户电脑操作系统更新安装；2.负责IT固定资产登记，入库及盘点工作；3.协助IT资产整理，搬迁至新办公室；4.日常桌面维护，包括办公电脑，打印机、投影仪等周边设备。任职条件：1.每周能保证3天或以上正常工作，实习时间3个月。2.对待工作认真负责，学习能力强，具有良好的沟通能力和团队协作能力。3.具备计算机及网络基础知识，熟悉电脑系统安装4.本科及以上学历，计算机信息技术或相关专业毕业生优先公司介绍：牙科医疗器械外企工作，2号线淞虹路地铁站附近。,投递要求：简历要求：中文截止日期：,上海市/上海市/长宁区,本科,3天／周,实习3个月
IT研发实习生,智业云,120/天,1、软件开发；2、网络维护；3、系统运维；4、参与公司各个IT项目的实施；5、领导交办的其他事务。任职要求：1、计算机相关专业本科以上学历；2、具有主动思考和创新能力，积极主动的工作态度；3、每周至少3天在岗，有项目或实习经验者优先；4、特别可适当放宽条件，表现者有优先机会留用。,投递要求：简历要求：中文截止日期：,上海市黄浦区淮海中路2-8号兰生大厦,本科,3天／周,实习6个月
